type,N_effort-,Avg evals,budget,run
all,2098.0,0.0,2,1
sway1,155.0,0.3,2,1
xpln1,1327.0,0.3,2,1
sway2,300.0,0.1,2,1
xpln2,1837.0,0.1,2,1
top,31.0,24.95,2,1
all,2098.0,0.0,2,2
sway1,199.5,0.6,2,2
xpln1,935.5,0.6,2,2
sway2,526.0,0.2,2,2
xpln2,2535.5,0.2,2,2
top,31.0,49.9,2,2
all,2098.0,0.0,2,3
sway1,203.66666666666666,0.9,2,3
xpln1,755.3333333333334,0.9,2,3
sway2,617.6666666666666,0.3,2,3
xpln2,2040.3333333333333,0.3,2,3
top,31.0,74.85,2,3
all,2098.0,0.0,2,4
sway1,181.25,1.2,2,4
xpln1,829.0,1.2,2,4
sway2,838.0,0.4,2,4
xpln2,2293.0,0.4,2,4
top,31.0,99.8,2,4
all,2098.0,0.0,2,5
sway1,225.4,1.5,2,5
xpln1,794.6,1.5,2,5
sway2,750.2,0.5,2,5
xpln2,2068.8,0.5,2,5
top,31.0,124.75,2,5
all,2098.0,0.0,2,6
sway1,248.33333333333334,1.8,2,6
xpln1,771.6666666666666,1.8,2,6
sway2,968.1666666666666,0.6,2,6
xpln2,2246.8333333333335,0.6,2,6
top,31.0,149.7,2,6
all,2098.0,0.0,2,7
sway1,255.71428571428572,2.1,2,7
xpln1,759.0,2.1,2,7
sway2,1047.0,0.7,2,7
xpln2,2367.0,0.7,2,7
top,31.0,174.65,2,7
all,2098.0,0.0,2,8
sway1,261.75,2.4,2,8
xpln1,738.5,2.4,2,8
sway2,1167.375,0.8,2,8
xpln2,2262.625,0.8,2,8
top,31.0,199.6,2,8
all,2098.0,0.0,2,9
sway1,253.77777777777777,2.7,2,9
xpln1,712.0,2.7,2,9
sway2,1270.7777777777778,0.9,2,9
xpln2,2115.1111111111113,0.9,2,9
top,31.0,224.55,2,9
all,2098.0,0.0,2,10
sway1,242.4,3.0,2,10
xpln1,732.3,3.0,2,10
sway2,1160.1,1.0,2,10
xpln2,1958.0,1.0,2,10
top,31.0,249.5,2,10
all,2098.0,0.0,2,11
sway1,295.6363636363636,3.3,2,11
xpln1,778.3636363636364,3.3,2,11
sway2,1365.2727272727273,1.1,2,11
xpln2,2107.909090909091,1.1,2,11
top,31.0,274.45,2,11
all,2098.0,0.0,2,12
sway1,296.3333333333333,3.6,2,12
xpln1,794.8333333333334,3.6,2,12
sway2,1485.0,1.2,2,12
xpln2,2176.75,1.2,2,12
top,31.0,299.4,2,12
all,2098.0,0.0,2,13
sway1,290.84615384615387,3.9,2,13
xpln1,764.0769230769231,3.9,2,13
sway2,1439.5384615384614,1.3,2,13
xpln2,2187.0,1.3,2,13
top,31.0,324.35,2,13
all,2098.0,0.0,2,14
sway1,324.5,4.2,2,14
xpln1,1039.642857142857,4.2,2,14
sway2,1501.7142857142858,1.4,2,14
xpln2,2191.0714285714284,1.4,2,14
top,31.0,349.3,2,14
all,2098.0,0.0,2,15
sway1,315.53333333333336,4.5,2,15
xpln1,1005.3333333333334,4.5,2,15
sway2,1428.0,1.5,2,15
xpln2,2073.733333333333,1.5,2,15
top,31.0,374.25,2,15
all,2098.0,0.0,2,16
sway1,314.3125,4.8,2,16
xpln1,970.625,4.8,2,16
sway2,1432.75,1.6,2,16
xpln2,2140.1875,1.6,2,16
top,31.0,399.2,2,16
all,2098.0,0.0,2,17
sway1,322.29411764705884,5.1,2,17
xpln1,940.0,5.1,2,17
sway2,1388.8235294117646,1.7,2,17
xpln2,2085.235294117647,1.7,2,17
top,31.0,424.15,2,17
all,2098.0,0.0,2,18
sway1,344.6111111111111,5.4,2,18
xpln1,946.1111111111111,5.4,2,18
sway2,1354.4444444444443,1.8,2,18
xpln2,2022.1666666666667,1.8,2,18
top,31.0,449.1,2,18
all,2098.0,0.0,2,19
sway1,341.4736842105263,5.7,2,19
xpln1,960.1578947368421,5.7,2,19
sway2,1293.157894736842,1.9,2,19
xpln2,2080.842105263158,1.9,2,19
top,31.0,474.05,2,19
all,2098.0,0.0,2,20
sway1,371.25,6.0,2,20
xpln1,974.75,6.0,2,20
sway2,1294.85,2.0,2,20
xpln2,2104.45,2.0,2,20
top,31.0,499.0,2,20
