type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
all,1013.0,3.0,3.0,5.0,19548.0,0.0,20,1
sway1,867.0,2.0,3.0,2.0,13063.0,6.0,20,1
xpln1,1037.0,3.0,3.0,5.0,18104.0,6.0,20,1
sway2,909.0,3.0,4.0,2.0,36827.0,2.0,20,1
xpln2,1109.0,3.0,3.0,1.0,22610.0,2.0,20,1
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,1
all,1027.0,3.0,3.0,5.5,19594.5,0.0,20,2
sway1,682.5,2.0,3.0,1.5,8409.5,6.0,20,2
xpln1,1039.0,3.0,3.0,5.0,17177.0,6.0,20,2
sway2,900.0,2.5,3.5,1.5,32297.5,2.0,20,2
xpln2,1102.5,3.0,3.0,2.5,19747.5,2.0,20,2
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,2
all,1045.0,3.0,3.0,5.333333333333333,19959.333333333332,0.0,20,3
sway1,816.3333333333334,2.0,3.0,1.3333333333333333,19856.0,6.0,20,3
xpln1,1073.6666666666667,3.0,3.0,4.666666666666667,18647.333333333332,6.0,20,3
sway2,840.6666666666666,2.6666666666666665,3.3333333333333335,2.0,27014.333333333332,2.0,20,3
xpln2,1098.6666666666667,3.0,3.0,3.3333333333333335,19026.333333333332,2.0,20,3
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,3
all,1057.25,3.0,3.0,5.25,19879.75,0.0,20,4
sway1,902.75,2.5,3.0,1.5,17247.75,6.0,20,4
xpln1,1064.5,3.0,3.0,5.0,18134.25,6.0,20,4
sway2,857.75,2.5,3.25,2.25,25120.25,2.0,20,4
xpln2,1091.0,3.0,3.0,4.0,19104.0,2.0,20,4
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,4
all,1057.2,3.0,3.0,5.2,19813.4,0.0,20,5
sway1,924.8,2.4,3.0,1.8,16272.0,6.0,20,5
xpln1,1055.2,3.0,3.0,6.0,19556.4,6.0,20,5
sway2,928.4,2.4,3.0,2.2,24949.0,2.0,20,5
xpln2,1086.4,3.0,3.0,4.4,19150.6,2.0,20,5
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,5
all,1064.0,3.0,3.0,5.166666666666667,19788.5,0.0,20,6
sway1,971.3333333333334,2.3333333333333335,3.0,2.3333333333333335,16242.333333333334,6.0,20,6
xpln1,1058.0,3.0,3.0,5.833333333333333,19715.0,6.0,20,6
sway2,965.8333333333334,2.5,3.0,2.5,27619.833333333332,2.0,20,6
xpln2,1088.0,3.0,3.0,4.333333333333333,18773.0,2.0,20,6
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,6
all,1060.142857142857,3.0,3.0,5.142857142857143,19556.571428571428,0.0,20,7
sway1,991.0,2.2857142857142856,3.0,2.5714285714285716,16483.85714285714,6.0,20,7
xpln1,938.7142857142857,3.142857142857143,2.7142857142857144,5.857142857142857,17480.14285714286,6.0,20,7
sway2,915.4285714285714,2.5714285714285716,3.142857142857143,2.5714285714285716,25910.85714285714,2.0,20,7
xpln2,1079.7142857142858,3.0,3.0,4.571428571428571,19201.85714285714,2.0,20,7
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,7
all,1062.875,3.0,3.0,5.125,19529.125,0.0,20,8
sway1,999.875,2.375,3.0,2.75,16720.875,6.0,20,8
xpln1,955.375,3.125,2.75,5.75,17858.625,6.0,20,8
sway2,912.375,2.5,3.125,2.625,27590.625,2.0,20,8
xpln2,1102.375,3.0,3.0,4.625,20369.125,2.0,20,8
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,8
all,1065.3333333333333,3.0,3.0,5.111111111111111,19833.11111111111,0.0,20,9
sway1,1005.2222222222222,2.5555555555555554,3.0,2.7777777777777777,17186.0,6.0,20,9
xpln1,963.6666666666666,3.111111111111111,2.7777777777777777,5.666666666666667,17991.444444444445,6.0,20,9
sway2,965.8888888888889,2.4444444444444446,3.0,2.5555555555555554,28616.88888888889,2.0,20,9
xpln2,1098.5555555555557,3.0,3.0,4.777777777777778,20254.444444444445,2.0,20,9
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,9
all,1064.9,3.0,3.0,5.1,19880.2,0.0,20,10
sway1,1034.1,2.6,3.0,2.9,18765.9,6.0,20,10
xpln1,967.2,3.1,2.8,5.6,17436.7,6.0,20,10
sway2,958.4,2.4,3.1,2.5,28532.0,2.0,20,10
xpln2,1096.4,3.0,3.0,4.6,20205.4,2.0,20,10
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,10
all,1065.1818181818182,3.0,3.0,5.090909090909091,19869.454545454544,0.0,20,11
sway1,1039.3636363636363,2.6363636363636362,3.0,3.0,19358.81818181818,6.0,20,11
xpln1,973.0909090909091,3.090909090909091,2.8181818181818183,5.545454545454546,17501.636363636364,6.0,20,11
sway2,953.9090909090909,2.3636363636363638,3.090909090909091,2.4545454545454546,28462.545454545456,2.0,20,11
xpln2,1094.6363636363637,3.0,3.0,4.454545454545454,20165.272727272728,2.0,20,11
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,11
all,1066.25,3.0,3.0,5.083333333333333,19922.666666666668,0.0,20,12
sway1,1043.9166666666667,2.6666666666666665,2.9166666666666665,3.5,19259.333333333332,6.0,20,12
xpln1,980.0833333333334,3.0833333333333335,2.8333333333333335,5.416666666666667,17404.166666666668,6.0,20,12
sway2,948.6666666666666,2.4166666666666665,3.0833333333333335,2.5,27829.333333333332,2.0,20,12
xpln2,1094.75,3.0,3.0,4.416666666666667,19891.916666666668,2.0,20,12
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,12
all,1067.3846153846155,3.0,3.0,5.076923076923077,19958.384615384617,0.0,20,13
sway1,1020.5384615384615,2.6923076923076925,2.923076923076923,3.4615384615384617,18635.384615384617,6.0,20,13
xpln1,984.0769230769231,3.076923076923077,2.8461538461538463,5.384615384615385,17461.615384615383,6.0,20,13
sway2,968.8461538461538,2.3846153846153846,3.1538461538461537,2.4615384615384617,27824.615384615383,2.0,20,13
xpln2,1093.3846153846155,3.0,3.0,4.3076923076923075,19882.076923076922,2.0,20,13
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,13
all,1068.7857142857142,3.0,3.0,5.071428571428571,19909.35714285714,0.0,20,14
sway1,1013.7857142857143,2.642857142857143,2.9285714285714284,3.4285714285714284,17853.571428571428,6.0,20,14
xpln1,987.5,3.0714285714285716,2.857142857142857,5.357142857142857,17510.85714285714,6.0,20,14
sway2,963.2857142857143,2.357142857142857,3.142857142857143,2.4285714285714284,27820.571428571428,2.0,20,14
xpln2,1088.857142857143,3.0,3.0,4.428571428571429,20017.285714285714,2.0,20,14
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,14
all,1070.6,3.0,3.0,5.066666666666666,19893.0,0.0,20,15
sway1,1019.2666666666667,2.6666666666666665,2.8666666666666667,3.4,17419.8,6.0,20,15
xpln1,990.0,3.066666666666667,2.8666666666666667,5.333333333333333,17305.6,6.0,20,15
sway2,992.0,2.4,3.066666666666667,2.3333333333333335,28421.0,2.0,20,15
xpln2,1088.0666666666666,3.0,3.0,4.333333333333333,20000.4,2.0,20,15
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,15
all,1069.125,3.0,3.0,5.0625,19775.5,0.0,20,16
sway1,1002.875,2.6875,2.875,3.375,16746.0625,6.0,20,16
xpln1,994.375,3.0625,2.875,5.1875,17247.9375,6.0,20,16
sway2,1024.8125,2.5,3.125,2.375,28946.375,2.0,20,16
xpln2,1087.375,3.0,3.0,4.25,19985.625,2.0,20,16
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,16
all,1068.7058823529412,3.0,3.0,5.0588235294117645,19666.41176470588,0.0,20,17
sway1,1033.3529411764705,2.7058823529411766,2.8823529411764706,3.3529411764705883,18365.235294117647,6.0,20,17
xpln1,989.7647058823529,3.0,2.8823529411764706,5.117647058823529,17578.764705882353,6.0,20,17
sway2,1000.5882352941177,2.4705882352941178,3.1176470588235294,2.2941176470588234,28387.058823529413,2.0,20,17
xpln2,1086.764705882353,3.0,3.0,4.176470588235294,19972.58823529412,2.0,20,17
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,17
all,1069.2222222222222,3.0,3.0,5.055555555555555,19648.11111111111,0.0,20,18
sway1,1039.111111111111,2.6666666666666665,2.888888888888889,3.2222222222222223,18297.777777777777,6.0,20,18
xpln1,998.2777777777778,3.0,2.888888888888889,5.055555555555555,17801.5,6.0,20,18
sway2,993.6111111111111,2.5555555555555554,3.111111111111111,2.1666666666666665,27628.88888888889,2.0,20,18
xpln2,1086.2222222222222,3.0,3.0,4.111111111111111,19961.0,2.0,20,18
top,1543.0,2.0,1.0,3.0,31323.0,1000.0,20,18
