type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,75.34,7.16,25.0,0.0,5,1
sway1,73.51,7.6,25.0,8.0,5,1
xpln1,73.94,7.47,25.0,8.0,5,1
sway2,70.07,8.67,25.0,6.0,5,1
xpln2,74.02,8.3,25.0,6.0,5,1
top,64.69,10.57,25.0,1000.0,5,1
all,75.09,7.17,25.0,0.0,5,2
sway1,73.89500000000001,7.48,25.0,8.0,5,2
xpln1,73.845,7.484999999999999,25.0,8.0,5,2
sway2,71.44,8.125,25.0,5.0,5,2
xpln2,73.86,7.94,25.0,5.0,5,2
top,64.8,10.84,25.0,1000.0,5,2
all,75.03,7.173333333333333,25.0,0.0,5,3
sway1,73.54666666666667,7.59,25.0,8.0,5,3
xpln1,73.95,7.426666666666666,25.0,8.0,5,3
sway2,71.99,7.993333333333333,25.0,4.0,5,3
xpln2,73.85333333333334,7.8066666666666675,25.0,4.0,5,3
top,65.62333333333333,14.270000000000001,29.166666666666668,1000.0,5,3
all,75.0875,7.1675,25.0,0.0,5,4
sway1,80.08000000000001,5.715,18.75,8.0,5,4
xpln1,74.2125,7.3549999999999995,25.0,8.0,5,4
sway2,72.025,8.0025,25.0,4.25,5,4
xpln2,74.1525,7.625,25.0,4.25,5,4
top,65.55,13.662500000000001,28.125,1000.0,5,4
all,75.016,7.15,25.0,0.0,5,5
sway1,78.76400000000001,6.093999999999999,20.0,8.0,5,5
xpln1,74.12,7.389999999999999,25.0,8.0,5,5
sway2,72.18800000000002,7.964,25.0,4.2,5,5
xpln2,74.14200000000001,7.608,25.0,4.2,5,5
top,65.638,14.424000000000001,27.5,1000.0,5,5
all,75.045,7.155,25.0,0.0,5,6
sway1,78.00333333333334,6.385000000000001,20.833333333333332,8.0,5,6
xpln1,74.02333333333334,7.431666666666666,25.0,8.0,5,6
sway2,72.57166666666667,7.921666666666667,25.0,4.166666666666667,5,6
xpln2,74.31500000000001,7.521666666666666,25.0,4.166666666666667,5,6
top,65.63333333333334,15.068333333333333,27.083333333333332,1000.0,5,6
all,75.00857142857144,7.151428571428572,25.0,0.0,5,7
sway1,77.41285714285716,6.542857142857144,21.428571428571427,8.0,5,7
xpln1,73.69285714285715,7.535714285714286,25.0,8.0,5,7
sway2,72.77714285714286,7.854285714285715,25.0,3.5714285714285716,5,7
xpln2,74.22142857142858,7.532857142857142,25.0,3.5714285714285716,5,7
top,65.55,14.607142857142858,26.785714285714285,1000.0,5,7
all,74.97000000000001,7.1525,25.0,0.0,5,8
sway1,76.6175,6.77125,21.875,8.0,5,8
xpln1,73.74625,7.5287500000000005,25.0,8.0,5,8
sway2,73.14625000000001,7.53,23.4375,3.875,5,8
xpln2,74.20875000000001,7.526249999999999,25.0,3.875,5,8
top,65.525,14.161249999999999,26.5625,1000.0,5,8
all,74.96000000000001,7.145555555555556,25.0,0.0,5,9
sway1,76.2188888888889,6.88,22.22222222222222,8.0,5,9
xpln1,73.76666666666668,7.522222222222222,25.0,8.0,5,9
sway2,72.8888888888889,7.63,23.61111111111111,3.888888888888889,5,9
xpln2,73.99222222222222,7.577777777777777,25.0,3.888888888888889,5,9
top,65.1888888888889,13.822222222222221,26.38888888888889,1000.0,5,9
all,74.96400000000001,7.1450000000000005,25.0,0.0,5,10
sway1,76.01500000000001,6.932,22.5,8.0,5,10
xpln1,73.76700000000001,7.525,25.0,8.0,5,10
sway2,72.60300000000001,7.736,23.75,4.0,5,10
xpln2,74.06,7.543999999999999,25.0,4.0,5,10
top,64.876,14.047999999999998,26.25,1000.0,5,10
all,74.97454545454546,7.1463636363636365,25.0,0.0,5,11
sway1,75.82727272727274,6.980909090909091,22.727272727272727,8.0,5,11
xpln1,73.7518181818182,7.514545454545455,25.0,8.0,5,11
sway2,72.8209090909091,7.681818181818182,21.59090909090909,4.090909090909091,5,11
xpln2,74.13363636363637,7.512727272727272,25.0,4.090909090909091,5,11
top,63.695454545454545,14.555454545454545,26.136363636363637,1000.0,5,11
all,75.01500000000001,7.144166666666667,25.0,0.0,5,12
sway1,75.62166666666668,7.036666666666668,22.916666666666668,8.0,5,12
xpln1,73.55416666666667,7.569166666666667,25.0,8.0,5,12
sway2,72.97666666666667,7.645,21.875,4.166666666666667,5,12
xpln2,74.1875,7.484166666666666,25.0,4.166666666666667,5,12
top,64.07916666666667,14.952499999999999,27.083333333333332,1000.0,5,12
all,75.03076923076925,7.149230769230769,25.0,0.0,5,13
sway1,75.53307692307693,7.056923076923078,23.076923076923077,8.0,5,13
xpln1,73.57461538461538,7.563846153846153,25.0,8.0,5,13
sway2,73.06076923076922,7.628461538461537,22.115384615384617,4.230769230769231,5,13
xpln2,74.15923076923076,7.485384615384614,25.0,4.230769230769231,5,13
top,64.14307692307692,14.70153846153846,26.923076923076923,1000.0,5,13
all,75.01500000000001,7.152857142857143,25.0,0.0,5,14
sway1,75.35714285714288,7.105714285714286,23.214285714285715,8.0,5,14
xpln1,73.61285714285714,7.553571428571429,25.0,8.0,5,14
sway2,73.24071428571428,7.58142857142857,20.535714285714285,4.142857142857143,5,14
xpln2,74.13428571428571,7.487857142857142,25.0,4.142857142857143,5,14
top,63.8692857142857,14.60642857142857,26.785714285714285,1000.0,5,14
all,75.02200000000002,7.152666666666667,25.0,0.0,5,15
sway1,75.25133333333335,7.133333333333334,23.333333333333332,8.0,5,15
xpln1,73.56533333333333,7.569333333333334,25.0,8.0,5,15
sway2,73.15733333333333,7.613999999999999,20.833333333333332,4.0,5,15
xpln2,74.01866666666666,7.492666666666666,25.0,4.0,5,15
top,63.97799999999999,14.320666666666664,26.666666666666668,1000.0,5,15
all,75.02937500000003,7.154375,25.0,0.0,5,16
sway1,75.22562500000001,7.136875,23.4375,8.0,5,16
xpln1,73.610625,7.55625,25.0,8.0,5,16
sway2,72.926875,7.7643749999999985,21.09375,4.0625,5,16
xpln2,73.956875,7.498749999999999,25.0,4.0625,5,16
top,64.10374999999999,14.652499999999998,26.5625,1000.0,5,16
all,75.03647058823533,7.154705882352941,25.0,0.0,5,17
sway1,75.05470588235295,7.185882352941176,23.529411764705884,8.0,5,17
xpln1,73.62,7.554705882352941,25.0,8.0,5,17
sway2,73.0564705882353,7.725294117647058,19.852941176470587,4.117647058823529,5,17
xpln2,73.94588235294117,7.500588235294117,25.0,4.117647058823529,5,17
top,63.9705882352941,14.610588235294117,26.470588235294116,1000.0,5,17
all,75.04333333333336,7.152222222222223,25.0,0.0,5,18
sway1,74.91055555555556,7.227222222222222,23.61111111111111,8.0,5,18
xpln1,73.65277777777777,7.541111111111111,25.0,8.0,5,18
sway2,73.00277777777778,7.742777777777777,20.13888888888889,4.111111111111111,5,18
xpln2,73.92333333333333,7.5055555555555555,25.0,4.111111111111111,5,18
top,64.15388888888887,14.951111111111109,27.083333333333332,1000.0,5,18
all,75.06105263157899,7.154736842105263,25.0,0.0,5,19
sway1,74.77263157894737,7.322105263157895,23.68421052631579,8.0,5,19
xpln1,73.65736842105264,7.540526315789474,25.0,8.0,5,19
sway2,72.98947368421052,7.747894736842104,20.394736842105264,4.368421052631579,5,19
xpln2,73.89842105263158,7.511578947368421,25.0,4.368421052631579,5,19
top,64.20105263157893,15.19894736842105,26.973684210526315,1000.0,5,19
all,75.04500000000004,7.1485,25.0,0.0,5,20
sway1,74.73150000000001,7.313,23.75,8.0,5,20
xpln1,73.66499999999999,7.539,25.0,8.0,5,20
sway2,72.849,7.792499999999999,20.625,4.35,5,20
xpln2,73.7125,7.541499999999999,25.0,4.35,5,20
top,64.45849999999999,15.244,26.875,1000.0,5,20
